hour,entity_type,entity_id,event,detail
111,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
111,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
111,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
111,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
111,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
111,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
111,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
111,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
111,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
111,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
111,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
111,TRUCK,2,MOVING,"pos=(47.51,47.10) heading to WH-2"
112,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
112,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
112,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
112,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
112,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
112,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
112,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
112,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
112,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
112,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
112,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
112,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
112,TRUCK,2,MOVING,"pos=(46.56,45.34) heading to WH-2"
113,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
113,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
